Ticker,Strategy,Probability,Mentions
MSFT,neutral_prob,0.5043456550273631,27
AAPL,neutral_prob,0.4485199363394217,33
AMZN,neutral_prob,0.5242021908171666,39
MA,neutral_prob,0.39523090310394765,5
META,positive_prob,0.4052647409193656,17
HD,neutral_prob,0.37453675060532987,8
TSLA,neutral_prob,0.41432837621929747,24
DJIA,neutral_prob,0.43051344947889447,16
COMP,positive_prob,0.48613652074709535,8
WMT,negative_prob,0.4240853045361512,33
NVDA,positive_prob,0.5269070432449763,39
INTC,neutral_prob,0.3965072724968195,10
AMD,neutral_prob,0.6390114263114002,9
JPM,neutral_prob,0.7448547983335124,9
ARKK,neutral_prob,0.39637997224926946,5
QQQ,positive_prob,0.5249378759181127,16
DIS,neutral_prob,0.3450330593105819,9
IBM,negative_prob,0.472529731458053,8
GOOGL,neutral_prob,0.4580733795960744,15
ARM,neutral_prob,0.7620843090116978,5
TSM,positive_prob,0.5997187262400985,8
SPY,positive_prob,0.465634420913245,14
BJ,negative_prob,0.46494297683238983,10
TGT,neutral_prob,0.5226191207766533,13
GOOG,positive_prob,0.48442856579398114,12
NKE,neutral_prob,0.48742222413420677,6
M,neutral_prob,0.4101264945541819,12
NFLX,neutral_prob,0.5291291893544522,11
PLTR,neutral_prob,0.37347180931828916,8
BA,neutral_prob,0.42198897413909436,5
ROKU,neutral_prob,0.5785839952528476,5
COST,neutral_prob,0.37149057327769697,16
DXCM,positive_prob,0.5787186166271567,10
O,neutral_prob,0.48121761716902256,9
PYPL,neutral_prob,0.6399844754487276,6
KO,neutral_prob,0.6218565839032332,6
DKNG,neutral_prob,0.4901555112252633,6
GPS,positive_prob,0.6698146295612273,23
ENPH,neutral_prob,0.5796095985919237,5
CSCO,negative_prob,0.6339941914193332,12
VRTX,positive_prob,0.5747923295944929,5
PANW,neutral_prob,0.33426647384961444,6
BRK.A,neutral_prob,0.6424812550346056,6
BRK.B,neutral_prob,0.6034519185777754,8
CRSP,positive_prob,0.5767822869122028,5
GM,neutral_prob,0.6408710293471813,6
SCHW,negative_prob,0.5732334066182375,5
XOM,positive_prob,0.48760472144931555,6
SHEL,neutral_prob,0.9462562799453735,5
PUBM,neutral_prob,0.7602787755429745,5
IWM,positive_prob,0.6754679560129132,7
BAC,neutral_prob,0.6407367388407389,6
AMAT,negative_prob,0.4515213626126448,15
JNJ,neutral_prob,0.9451090455055237,5
CHPT,negative_prob,0.4621299970895052,14
C,neutral_prob,0.7616508521139622,5
DE,neutral_prob,0.5888460747897625,5
MELI,neutral_prob,0.39610940776765347,5
ROST,positive_prob,0.6760695588641933,14
BKE,positive_prob,0.678486986884049,7
BZH,positive_prob,0.3926576878875494,5
USO,negative_prob,0.5683545220643282,5
SPB,positive_prob,0.548312904845391,7
BBLG,positive_prob,0.8006988584995269,5
CYTO,positive_prob,0.6182123228907586,5
TWST,positive_prob,0.8047569453716278,5
AEO,positive_prob,0.4659648222227891,15
BMI,positive_prob,0.7588836457580328,5
ANET,positive_prob,0.5955591816455126,10
GLOB,positive_prob,0.9372095227241516,5
BABA,negative_prob,0.656194996375304,13
STAG,positive_prob,0.39614892452955247,5
NTES,neutral_prob,0.5737255666404962,5
WSM,positive_prob,0.4832414002157748,8
PGR,positive_prob,0.5736726611852646,5
HAE,positive_prob,0.5770946107804775,5
PODD,positive_prob,0.5770946107804775,5
PRI,neutral_prob,0.5200628407299519,5
SNPS,positive_prob,0.7627504140138626,5
SNOW,positive_prob,0.8125632362706321,7
ACAD,positive_prob,0.5768737964332104,5
ANF,positive_prob,0.6008902848698199,8
ANDE,neutral_prob,0.3955806367099285,5
NVO,neutral_prob,0.6308979205787182,6
SONO,positive_prob,0.7871307069435716,6
TXT,positive_prob,0.5777772724628448,5
LGND,positive_prob,0.7910284058501323,6
DVAX,positive_prob,0.7604205675423146,5
LMB,positive_prob,0.578118409961462,5
LSPD,neutral_prob,0.9444616834322611,6
PLCE,negative_prob,0.420191139248865,7
UTI,positive_prob,0.7583275854587554,5
